division,subclass,weight.division,weight.subclass,matching,reference.mean.price,reference.weighted.mean.price,reference.weighted.mean.price.division,reference.weighted.mean.price.total
FOOD AND NON-ALCOHOLIC BEVERAGES,rice,0.1906,0.0013,1,2.9915,0.0039,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,flours and other cereals,0.1906,0.002,1,1.4958,0.003,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,bread,0.1906,0.0098,1,1.64,0.0161,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,other bakery products,0.1906,0.0146,1,2.901,0.0424,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,pizza and quiche,0.1906,0.0011,1,3.3975,0.0037,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,pasta products and couscous,0.1906,0.0024,1,2.0623,0.0049,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,breakfast cereals,0.1906,0.0031,1,3.6727,0.0114,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,other cereal products,0.1906,0.0,1,3.2975,0.0,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,beef and veal,0.1906,0.0013,1,6.395,0.0083,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,pork,0.1906,0.0112,1,5.3517,0.0599,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,lamb and goat,0.1906,0.0039,1,14.72,0.0574,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,poultry,0.1906,0.0098,1,9.235,0.0905,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,other meats,0.1906,0.0011,1,5.245,0.0058,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,"dried, salted or smoked meat",0.1906,0.006,1,2.902,0.0174,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,other meat preparations,0.1906,0.0019,1,4.235,0.008,0.7839,113008.5673
FOOD AND NON-ALCOHOLIC BEVERAGES,fresh or chilled fish,0.1906,0.0028,1,9.1,0.0255,0.7839,113008.5673
